Tarantula | best_case | top-1 | Line | Avg: 0.1179 | TCP Avg: 0.1251
Tarantula | best_case | top-5 | Line | Avg: 0.2311 | TCP Avg: 0.2317
Tarantula | best_case | top-10 | Line | Avg: 0.2323 | TCP Avg: 0.2268
Tarantula | best_case | exam | Line | Avg: 0.1121 | TCP Avg: 0.1367
Tarantula | best_case | wasted-effort | Line | Avg: 448.8000 | TCP Avg: 550.5667
Tarantula | avg_case | top-1 | Line | Avg: 0.0628 | TCP Avg: 0.0703
Tarantula | avg_case | top-5 | Line | Avg: 0.1524 | TCP Avg: 0.1598
Tarantula | avg_case | top-10 | Line | Avg: 0.1774 | TCP Avg: 0.1715
Tarantula | avg_case | exam | Line | Avg: 0.2139 | TCP Avg: 0.2040
Tarantula | avg_case | wasted-effort | Line | Avg: 912.7000 | TCP Avg: 892.6000
Tarantula | worst_case | top-1 | Line | Avg: 0.0479 | TCP Avg: 0.0559
Tarantula | worst_case | top-5 | Line | Avg: 0.1167 | TCP Avg: 0.1267
Tarantula | worst_case | top-10 | Line | Avg: 0.1371 | TCP Avg: 0.1357
Tarantula | worst_case | exam | Line | Avg: 0.3803 | TCP Avg: 0.3801
Tarantula | worst_case | wasted-effort | Line | Avg: 1706.7667 | TCP Avg: 1720.7333
Ochiai | best_case | top-1 | Line | Avg: 0.1141 | TCP Avg: 0.1253
Ochiai | best_case | top-5 | Line | Avg: 0.2077 | TCP Avg: 0.1854
Ochiai | best_case | top-10 | Line | Avg: 0.2168 | TCP Avg: 0.1973
Ochiai | best_case | exam | Line | Avg: 0.1137 | TCP Avg: 0.1386
Ochiai | best_case | wasted-effort | Line | Avg: 467.2333 | TCP Avg: 570.1667
Ochiai | avg_case | top-1 | Line | Avg: 0.0685 | TCP Avg: 0.0708
Ochiai | avg_case | top-5 | Line | Avg: 0.1516 | TCP Avg: 0.1420
Ochiai | avg_case | top-10 | Line | Avg: 0.1706 | TCP Avg: 0.1631
Ochiai | avg_case | exam | Line | Avg: 0.2129 | TCP Avg: 0.2063
Ochiai | avg_case | wasted-effort | Line | Avg: 909.3333 | TCP Avg: 894.3000
Ochiai | worst_case | top-1 | Line | Avg: 0.0542 | TCP Avg: 0.0558
Ochiai | worst_case | top-5 | Line | Avg: 0.1243 | TCP Avg: 0.1175
Ochiai | worst_case | top-10 | Line | Avg: 0.1318 | TCP Avg: 0.1317
Ochiai | worst_case | exam | Line | Avg: 0.3803 | TCP Avg: 0.3801
Ochiai | worst_case | wasted-effort | Line | Avg: 1706.7000 | TCP Avg: 1720.7333
